url,published,rent,size,district,female_inhabitants,male_inhabitants,diverse_inhabitants,total_inhabitants
wg-zimmer-in-Berlin-Neukoelln.12147582.html,2025-07-10T00:00:00,715,22,Neukölln,1,0,0,2
wg-zimmer-in-Berlin-Boetzow-Viertel.8911358.html,2025-08-15T00:00:00,600,20,Bötzow Viertel,1,0,0,2
wg-zimmer-in-Berlin-Prenzlauer-Berg.12192065.html,2025-07-26T00:00:00,700,21,Prenzlauer Berg,1,0,0,2
wg-zimmer-in-Berlin-Prenzlauer-Berg.12236286.html,2025-08-16T00:00:00,810,17,Prenzlauer Berg,1,0,0,2
wg-zimmer-in-Berlin-Charlottenburg.12230091.html,2025-08-09T00:00:00,520,27,Charlottenburg,2,1,0,4
wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.7992694.html,2025-05-31T00:00:00,700,27,Charlottenburg-Wilmersdorf,1,0,0,2
wg-zimmer-in-Berlin-Friedrichshain.12215958.html,2025-08-04T00:00:00,700,25,Friedrichshain,0,2,0,3
wg-zimmer-in-Berlin-Mitte.12244870.html,2025-08-14T00:00:00,750,12,Mitte,0,1,0,2
wg-zimmer-in-Berlin-Moabit.9247507.html,2025-08-14T00:00:00,600,14,Moabit,0,0,0,3
wg-zimmer-in-Berlin-Wedding.5417197.html,2025-08-16T00:00:00,740,16,Wedding,0,2,0,3
wg-zimmer-in-Berlin-Schoeneberg.7906390.html,2025-08-15T00:00:00,700,23,Schöneberg,0,1,0,2
wg-zimmer-in-Berlin-Friedrichshain.12237814.html,2025-08-12T00:00:00,699,23,Friedrichshain,0,0,0,2
wg-zimmer-in-Berlin-Friedrichshain.12122324.html,2025-08-04T00:00:00,392,17,Friedrichshain,0,0,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.4000904.html,2025-08-16T00:00:00,680,23,Prenzlauer Berg,0,1,0,2
wg-zimmer-in-Berlin-Tempelhof-Schoeneberg.12172952.html,2025-07-19T00:00:00,430,11,Tempelhof-Schöneberg,2,0,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.12154635.html,2025-07-30T00:00:00,750,11,Prenzlauer Berg,1,0,0,2
wg-zimmer-in-Berlin-Kladow.11941131.html,2025-08-11T00:00:00,600,20,Kladow,1,0,0,2
wg-zimmer-in-Berlin-Siemensstadt.12235142.html,2025-08-14T00:00:00,550,25,Siemensstadt,0,1,0,2
wg-zimmer-in-Berlin-Reinickendorf.11971069.html,2025-08-09T00:00:00,700,10,Reinickendorf,0,1,0,2
wg-zimmer-in-Berlin-Friedrichshain.12174796.html,2025-08-16T00:00:00,890,17,Friedrichshain,0,0,0,2
wg-zimmer-in-Berlin-Rheingauviertel.10214874.html,2025-08-12T00:00:00,600,23,Rheingauviertel,2,1,0,4
wg-zimmer-in-Berlin-Friedrichshain.12238615.html,2025-08-16T00:00:00,420,10,Friedrichshain,0,1,0,2
wg-zimmer-in-Berlin-Friedenau.12047283.html,2025-08-07T00:00:00,205,14,Friedenau,3,0,0,4
wg-zimmer-in-Berlin-Zehlendorf.12217337.html,2025-08-04T00:00:00,500,13,Zehlendorf,2,0,0,3
wg-zimmer-in-Berlin-Lichterfelde.10922541.html,2025-08-03T00:00:00,600,15,Lichterfelde,0,1,0,2
wg-zimmer-in-Berlin-Neukoelln.12226563.html,2025-08-12T00:00:00,500,24,Neukölln,2,0,0,2
wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.12140838.html,2025-07-28T00:00:00,800,25,Charlottenburg-Wilmersdorf,0,2,0,3
wg-zimmer-in-Berlin-Neukoelln.12249426.html,2025-08-16T00:00:00,500,23,Neukölln,1,1,0,3
wg-zimmer-in-Berlin-Spandau.12199606.html,2025-07-29T00:00:00,600,24,Spandau,0,0,0,3
wg-zimmer-in-Berlin-Karlshorst.10697432.html,2025-08-16T00:00:00,630,9,Karlshorst,0,6,0,7
wg-zimmer-in-Berlin-Schoeneberg.11038627.html,2025-07-17T00:00:00,700,17,Schöneberg,2,0,0,3
wg-zimmer-in-Berlin-Charlottenburg-Wilmersdorf.12164445.html,2025-07-16T00:00:00,750,25,Charlottenburg-Wilmersdorf,3,0,0,3
wg-zimmer-in-Berlin-Neukoelln.12219476.html,2025-08-15T00:00:00,490,19,Neukölln,0,0,0,5
wg-zimmer-in-Berlin-Charlottenburg.11198151.html,2025-08-06T00:00:00,1,23,Charlottenburg,1,0,0,2
wg-zimmer-in-Berlin-Tempelhof.11858273.html,2025-07-17T00:00:00,500,35,Tempelhof,0,2,0,3
wg-zimmer-in-Berlin-Steglitz.12219978.html,2025-08-05T00:00:00,1395,18,Steglitz,0,0,0,2
wg-zimmer-in-Berlin-Mitte.4182600.html,2025-08-04T00:00:00,490,22,Mitte,1,1,0,3
wg-zimmer-in-Berlin-Prenzlauer-Berg.12244599.html,2025-08-14T00:00:00,825,17,Prenzlauer Berg,0,2,0,3
wg-zimmer-in-Berlin-Moabit.12180680.html,2025-07-22T00:00:00,660,16,Moabit,1,3,0,5
wg-zimmer-in-Berlin-Moabit.10785038.html,2025-08-16T00:00:00,790,15,Moabit,0,2,0,3
wg-zimmer-in-Berlin-Steglitz.9150468.html,2025-08-16T00:00:00,555,17,Steglitz,0,2,0,3
